TITULO-ARTIGO;ANO-ARTIGO;GRANDE-AREA-1;AREA-1;SUB-AREA-1;GRANDE-AREA-2;AREA-2;SUB-AREA-2;GRANDE-AREA-3;AREA-3;SUB-AREA-3
Qualidade de Maçãs Royal Gala Tratadas com 1-MCP e Armazenadas em Atmosfera Refrigerada (AR);2002;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Efeito do 1-MCP na fisiologia Pós-Colheita de Maçãs Royal Gala em Temperatura Ambiente;2002;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
UTILIZAÇÃO DE 1-METILCICLOPROPENO NA CONSERVAÇÃO DE KIWIS (Actinidia deliciosa Lang & Ferguson) CV. HAYWARD.;2002;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;CIENCIAS_AGRARIAS;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Efeito do 1-metilciclopropeno na manutenção da qualidade pós-colheita de maçãs  Royal Gala ;2003;;;;;;;;;
Expressão gênica diferencial em resposta ao fungo Botryosphaeria dothidea em maçãs cv. Fuji;2007;;;;;;;;;
Aislamiento de RNA total de manzanas (Malus domestica) cv. Fuji, en distintos puntos de maduración;2007;;;;;;;;;
Isolamento e caracterização de genes diferencialmente expressos em frutos de maçã cv. Fuji durante a infecção por Botryosphaeria dothidea;2006;;;;;;;;;
Avaliação da atividade da enzima peroxidase em função da densidade de plantio em pessegueiros (Prunus persica) cv. Riograndense, durante o eríodo de dormência;1998;;;;;;;;;
Avaliação de diferentes sistemas de cultivo de pessegueiro cv. Riograndense.;2000;;;;;;;;;
Avaliação pós-colheita de 3 anos de produção de pêssegos da cv. Marli cultivados nos sistemas integrado e convencional;2005;;;;;;;;;
Efeito do tratamento térmico e carbonato de sódio na incidência de podridões causadas por Penicillium digitatum em Tangerinas Clementina Fina;2004;;;;;;;;;
Controle da podridão branca em pós-colheita de maçãs cv. Fuji através da aplicação de termoterapiap;2006;;;;;;;;;
XIX Congresso Brasileiro de Fruticultura;2003;;;;;;;;;
Produção e qualidade de frutos de pessegueiro sob diferentes sistemas de cultivo.;1999;;;;;;;;;
Isolamento e caracterização de genes diferencialmente expressos em frutos de maçã Cv. Fuji durante a infecção por Botryosphaeria dothidea;2006;;;;;;;;;
Avalições de soluções nutrituvas na produção de sementes pré-basicas de batata em sistema hidropônico;2001;;;;;;;;;
Efeito do etileno, aquecimento intermitente e atmosfera controlada;2004;;;;;;;;;
Isolamento de RNA para o estudo da expressão diferencial de genes;2004;;;;;;;;;
Avaliação de pêssegos da cv. Marli produzidos nos sistemas de produção integrada e convencional;2004;;;;;;;;;
Determinação de danos de frio em pêssegos da cultivar Chimarrita colhidos em dois estádios de maturação;2004;;;;;;;;;
Software de Apoio e Acompanhamento de Egressos do IFNMG;2012;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação;CIENCIAS_HUMANAS;Educação;;CIENCIAS_HUMANAS;Educação;Administração Educacional
GeoZone: Um Framework Eficiente de Difusão de Interesses em Redes Veiculares Orientadas a Conteúdo;2014;;;;;;;;;
Frutas no Quintal - Uma Alternativa Saudável - Levantamento Socieconômico da Comunidade Rural de Olhos D´água;2009;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Frutas no Quintal - Uma Alternativa Saudável II - Contribuição para a Segurança Alimentar na Comunidade Rural de Sítio Novo;2009;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Capacitação de Jovens Agricultores para Produção, Segurança Alimentar e Sustentabilidade Sócioambiental no Semi-Árido Norte mineiro;2009;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
EFEITO DA SECAGEM DE SEMENTES SOBRE A GERMINAÇÃO DE UVAIA (Eugenia pyriformis CAMB.).;2004;;;;;;;;;
Acurácia do método esteriométrico na determinação da densidade básica da madeira;2008;;;;;;;;;
Efeito da rotação na qualidade de superfícis usinadas com serra circular;2008;;;;;;;;;
Identificação de parâmetros de rugosidade para qualificação de pisos de Eucalyptus grandis.;2008;;;;;;;;;
Medição de Ângulos Básicos de Corte em Serras de Disco de Processamento da Madeira e Derivados.;2008;;;;;;;;;
VARIAÇÃO DA VAZÃO E UNIFORMIDADE DE APLICAÇÃO DE ÁGUA EM FUNÇÃO DA ALTERAÇÃO DA PRESSÃO DE SERVIÇO DO ASPERSOR RAIN BIRD MODELO LF 1200;2007;;;;;;;;;
Caracterização Hidráulica do Microaspersor Multi-Funcional (MFN) da Amanco;2007;;;;;;;;;
UNIFORMIDADE DE APLICAÇÃO DE ÁGUA E VARIAÇÃO DA VAZÃO EM DIFERENTES PRESSÕES DE SERVIÇO DO ASPERSOR RAIN BIRD LF 1200;2007;;;;;;;;;
Estudo comparativo da avaliação de sistemas de irrigação por gotejamento utilizando as metodologias propostas por Keller e por Denículli.;2006;;;;;;;;;
DESEMPENHO DE UM LISÍMETRO DE DRENAGEM SIMPLIFICADO PARA  DETERMINAÇÃO DA EVAPOTRANSPIRAÇÃO DE REFERÊNCIA (ET0), EM  COMPARAÇÃO COM O MÉTODO DE PENMAN-MONTEITH;2009;;;;;;;;;
DESEMPENHO DE MÉTODOS EMPÍRICOS PARA DETERMINAÇÃO DA VAZÃO  EM CANAL RETANGULAR, USANDO DIFERENTES TIPOS DE VERTEDORES;2009;;;;;;;;;
CRESCIMENTO DOS ALGODOEIROS BRS ARARIPE E BRS CAMAÇARI EM FUNÇÃO DE DENSIDADES POPULACIONAIS EM REGIME IRRIGADO;2009;;;;;;;;;
PRODUÇÃO DO ALGODOEIRO, CULTIVARES BRS ARARIPE E BRS CAMAÇARI, EM DIFERENTES DENSIDADES POPULACIONAIS NOS CULTIVOS SOB IRRIGAÇÃO E DE SEQUEIRO.;2009;;;;;;;;;
Crescimento e acúmulo de micronutrientes em maracujazeiro amarelo irrigado por microaspersão;2012;;;;;;;;;
Monitoramento em características físcias de um latossolo vermelho distrófico com textura argilosa manejado com os sistemas de plantio direto e convencional;2012;;;;;;;;;
Balanço Hídrico da Região de Rio Verde - GO;2013;;;;;;;;;
Influência de doses de adubação na fitomassa do feijoeiro irrigado;2013;;;;;;;;;
Caracterização da vazão de um sistema de irrigação por gotejo;2013;;;;;;;;;
Uniformidade de distribuição de um sistema de irrigação sob diferentes pressões de serviço em casa de vegetação;2013;;;;;;;;;
Fitomassa acumulada nos estádios iniciais para genótipos de girassol;2013;;;;;;;;;
Determinação da emergência e número de folhas para diferentes cultivares de girassol;2013;;;;;;;;;
Manutenção do potencial vegetativo em cultivares de girassol;2013;;;;;;;;;
UNIFORMIDADE DE DISTRIBUIÇÃO DE ÁGUA DE UM MINIASPERSOR SETORIAL EM FUNÇÃO DA VARIAÇÃO DO ÂNGULO DE TRABALHO E DA PRESSÃO DE SERVIÇO;2013;;;;;;;;;
Crescimento inicial do feijoeiro comum submetido a tipos de adubação;2013;;;;;;;;;
Influência dos sistemas de cultivo em atributos físicos de um latossolo;2014;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;;;;;;
Resposta da fitomassa de cultivares de girassol submetidas a diferentes regimes de irrigação e adubação nitrogenada.;2014;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;;;;;;
Manutenção do potencial vegetativo de cultivares de girassol em níveis de reposição hídrica;2014;;;;;;;;;
Comportamento de equações de evapotranspiração de referência para o município de Rio Verde - GO, Brasil;2014;;;;;;;;;
A Gestão Autoritária e a Centralizadora:;2000;CIENCIAS_SOCIAIS_APLICADAS;Administração;;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;
O Terceiro Setor em São João del-Rei: Enfoque na Capacidade Gerencial e nas Formas de Gestão;2002;;;;;;;;;
A Gestão Autoritária e a Centralizadora: 'falência' e estagnação no Terceiro Setor;2001;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
A Gestão Autoritária e a Centralizadora: 'falência' e estagnação no Terceiro Setor;2001;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
"""A Gestão Autoritária e a Centralizadora: 'falência' e estagnação no Terceiro Setor""";2000;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
Reestruturação Administrativa no Terceiro Setor Filantrópico: uma reflexão sobre o Centro Espírita São Miguel Arcanjo;1999;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
 O Terceiro Setor em São João del-Rei: Enfoque na Capacidade Gerencial e nas Formas de Gestão ;2002;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
O Terceiro Setor em São João del-Rei: Enfoque na Capacidade Gerencial e nas Formas de Gestão;2002;CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração de Setores Específicos;;;;;;
O lugar das mulheres e das famílias na Política Pública de Assistência Social: o caso do Centro de Referência de Assistência Social de Lavras;2010;;;;;;;;;
O Lugar das Mulheres e das Famílias na Política Pública de Assistência Social: o caso do CRAS de Lavras-MG;2010;;;;;;;;;
O Conceito de Gestão Social em Fernando Guilherme Tenório: um ensaio teórico;2011;;;;;;;;;
Concepções Pedagógicas Subjacentes às Práticas de Ensino em Gestão Social em cursos de Administração e Administração Pública em Instituições Públicas de Ensino;2012;;;;;;;;;
Banco de Dados Social: Tecnologia para a Gestão dos/nos Centros de Referência de Assistência Social (CRAS);2012;;;;;;;;;
Los hombres, las masculinidades y la política pública de asistencia social: un análisis del género en el ámbito del programa de atención integral de la familia;2012;;;;;;;;;
A Gestão Autoritária e a Concentradora: falência e estagnação no Terceiro Setor;2000;;;;;;;;;
Concepções Pedagógicas Subjacentes às Práticas de Ensino em Cursos de Administração e Administração Pública de Instituições Públicas de Ensino;2012;;;;;;;;;
Aplicação da Teoria de Déficit de Autocuidado de Orem no cuidado de Enfermagem a pacientes em quimioterapia antineoplásica;2007;;;;;;;;;
Protótipo de um software para apoio à Sistematização da Assistência de Enfermagem;2008;CIENCIAS_DA_SAUDE;Enfermagem;;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação;;;
PREVALÊNCIA DO CONHECIMENTO DOS FATORES DE RISCO E DETECÇÃO PRECOCE DO CÂNCER DE MAMA FEMININO;2013;CIENCIAS_DA_SAUDE;Enfermagem;Enfermagem de Saúde Pública;;;;;;
PROTÓTIPO DE UM SOFTWARE PARA APOIO À SISTEMATIZAÇÃO DA ASSISTÊNCIA DE ENFERMAGEM;2014;CIENCIAS_DA_SAUDE;Enfermagem;;;;;;;
CONHECIMENTO DOS FATORES DE RISCO E DETECÇÃO PRECOCE DO CÂNCER DE MAMA ENTRE USUÁRIAS DA  ESTRATÉGIA SAÚDE DA FAMÍLIA;2014;;;;;;;;;
AVALIAÇÃO DA ADESÃO AO AUTOCUIDADO DE  PACIENTES DIABÉ TICOS;2014;CIENCIAS_DA_SAUDE;Saúde Coletiva;;;;;;;
Caracterização Físico-química de Pitangas roxas produzidas sob irrigação no Norte de Minas Gerais;2003;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;;;;
Teor de Antocianinas e Flavonóis em Pitangas roxas cultivadas no Norte de Minas Gerais;2003;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Caracterização Físico-química de Pitangas roxas e vermelhas Cultivadas na região Norte de Minas Gerais;2003;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;;;;
Caracterização Físico-química de Laranjas;2003;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;;;;
Propriedades físico-químicas de frutos de mamão (Carica papayaL.) da variedade;2003;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Manejo alternativo na cultura do Mamoeiro visando minimizar a ocorrência da Mancha Fisiológica do Mamoeiro (Carica papaya L.) na região de Linhares no Espírito Santo-Dados Preliminares;2004;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Variáveis qualitativas em frutos de Mamão (Carica papaya L.): Influência da época de colheita;2004;;;;;;;;;
Influência da época de colheita e do período de armazenamento no conteúdo de ácido ascórbico em frutos de Mamão do Programa de Melhoramento do Mamoeiro da UENF;2004;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Manejo alternativo na cultura do mamão (Carica papaya L.) visando minimizar a ocorrência da Mancha Fisiológica do Mamoeiro em Linhares no Espírito Santo. Dados Preliminares;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
"Polpa Gelificada em frutos de mamão (Carica papaya L. cv. ""Golden""): Propriedades Físico-Químicas";2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Caracterização do padrão de amadurecimento de frutos de mamão (Carica papaya L.) do Programa de Melhoramento do Mamoeiro da UENF: Conteúdo de Pigmentos;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Conteúdo de Vitamina C em frutos de Mamão (Carica papaya L.). Influência do tempo de armazenamento e da época de colheita.;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Estudo Funcional em Cloroplasto de Frutos de Mamão (Carica papaya L.) durante o amadurecimento;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Conteúdo de Vitamina C em frutos de mamão (Carica papaya L.). Influência do tempo de armazenamento e da época de colheita;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Caracterização do padrão de amadurecimento de frutos de mamão (Carica papaya L.) do Programa de Melhoramento do Mamoeiro da UENF: Conteúdo de Pigmentos;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Manejo alternativo na cultura do mamão (Carica papaya L.) visando minimizar a ocorrência da Mancha Fisiológica do Mamoeiro em Linhares no Espírito Santo. Dados Preliminares;2004;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;
Variáveis qualitativas e influência da época de colheita em híbridos de mamão (Carica papaya L.) do Programa de Melhoramento do Mamoeiro da UENF;2005;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;;;;
Introdução e avaliação de germoplasma elite de videira para o Norte Fluminense;2005;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;
Comportamento das características químicas durante o crescimento, desenvolvimento e amadurecimento de bananas Prata Anã;2003;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Efeito de diferentes Lâminas dágua e coberturas do solo sobre a incidência da mancha fisiológica do mamão (MFM);2005;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Avaliação de germoplasma elite de videira para o Norte e Noroeste Fluminense;2005;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;;;;
Variáveis Qualitativas em frutos de mamão (Carica papaya L.) cv. Diva;2005;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;
Aferição do método das notas para o monitoramento da incidência da mancha fisiológica do mamão através de imagens digitais;2005;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Introdução e Avaliação de Germoplasma elite de Videira para o Norte Fluminense;2005;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;
Distúrbios fisiológicos em mamão. Suas causas e seus efeitos sobre a qualidade do fruto;2006;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Efeito da lâmina de irrigação, cobertura de solo e estação do ano no calibre de frutos de mamão 'Golden' e 'Tainung 01';2007;;;;;;;;;
Efeito da lâmina de irrigação, cobertura de solo e estação do ano na incidência da Mancha Fisiológica do mamão 'Golden' e nos atributos de qualidade;2007;;;;;;;;;
Desenvolvimento do maracujá amarelo, atributos de qualidade na maturação;2007;;;;;;;;;
Firmeza dos frutos de mamão 'Golden' e 'Tainung', influência da lâmina de irrigação, da cobertura de solo e da posição de amostragem no fruto;2007;;;;;;;;;
Caracterização de progênies do maracujazeiro-amarelo: Características fisico-quimicas dos frutos;2007;;;;;;;;;
Caracterização de progênies do maracujazeiro-amarelo: coloração dos frutos;2007;;;;;;;;;
Efeito da lâmina de irrigação, cobertura de solo e estação do ano no calibre de frutos de mamão 'Golden' e 'Tainung 01';2007;;;;;;;;;
Efeito da lâmina de irrigação, cobertura de solo e estação do ano no calibre de frutos de mamão 'Golden' e 'Tainung 01';2007;;;;;;;;;
Firmeza dos frutos de mamão 'Golden' e 'Tainung': influência da lâmina de irrigação, da cobertura de solo e da posição de amostragem no fruto;2007;;;;;;;;;
Lâminas de irrigação e coberturas do solo sobre a incidência da mancha fisiologica do mamão 'Golden';2007;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Diferentes lâminas de irrigação e coberturas do solo e sua ação sobre a incidencia da mancha fisiológica do mamão Tainung 01;2007;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Lâminas de irrigação e coberturas do solo sobre a incidência da mancha fisiologica do mamão 'Golden';2007;CIENCIAS_AGRARIAS;Agronomia;FISIOLOGIA VEGETAL;;;;;;
Validação do método das notas para quantificação da incid~encia da mancha fisiologica do mamão através do uso de imagens digitais;2007;CIENCIAS_BIOLOGICAS;Fisiologia;;;;;;;
Avaliação do teor de vitamina C e sólidos solúveis totais em frutos de mamão produzidos no sistema orgânico e convencional;2007;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Efeito da adubação potássica e do turno de rega nas características qualitativas do mamão 'Golden' (Carica papaya L.);2007;;;;;;;;;
Efeito da adubação potássica e do turno de rega nas características qualitativas do mamão 'UENF/CALIMAN01' (Carica papaya L.);2007;;;;;;;;;
Amadurecimento induzido em frutos de mamão 'Golden' (Carica papaya L.);2007;;;;;;;;;
Efeito de diferentes doses de ethephon no amadurecimento de frutos de mamão 'Golden' (Carica papaya L.);2007;;;;;;;;;
Avaliações físico-químicas em frutos de diferentes acessos de aceroleiras (Malpighia emarginata D.C);2008;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;;;;
Caracterização qualitativa do mamão UENF/CALIMAN01 sob diferentes lâminas de irrigação cultivados na região Norte fluminense;2008;CIENCIAS_AGRARIAS;Agronomia;Fisiologia pós-colheita;;;;;;
Firmeza em frutos de mamão Golden tratados e não tratados com 1-MCP;2008;;;;;;;;;
Amadurecimento induzido do mamão Golden: Otimização na aplicação do ethephon;2008;;;;;;;;;
Coloração da casca em frutos de mamão Golden: Influência da aplicação do 1-MCP;2008;;;;;;;;;
Caracterização fisico-quimica dos frutos de dez acessos de aceroleiras (Malpighia emarginata D.C);2008;CIENCIAS_AGRARIAS;Agronomia;Melhoramento de Plantas;;;;;;
Descritores morfoagronômicos na avaliação da diversidade genética de goiabeiras (Psidium guajava L.);2008;;;;;;;;;
Indução do amadurecimento em frutos de mamoeiro  Golden ;2008;;;;;;;;;
Avaliação da longevidade de amostras de mamão  Golden  armazenadas em freezer e biofreezer;2008;;;;;;;;;
Armazenamento de amostras de mamão  Golden : Influência da temperatura e do tipo de embalagem;2008;;;;;;;;;
Características físicas de diferentes acessos de goiabeiras (Psidium guajava L.) provenientes do municipio de Bom Jesus do Itabapoana;2008;;;;;;;;;
Caracterização química de acessos de goiabeiras (Psidium guajava L.);2008;;;;;;;;;
Perfil do consumidores de hortaliças no Município de Floresta-PE;2010;;;;;;;;;
CARACTERIZAÇÃO DE PRODUTORES AGROECOLÓGICOS DO MUNICÍPIO DE OURICURI-PE;2011;;;;;;;;;
Influência da superação de dormência e diferentes substratos na germinação do umbuzeiro (Spondias Tuberosa ARR. CÂM);2012;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Determinação da necessidade térmica do feijoeiro comum (Phaseolus vulgaris L.) para a cidade de Ouricuri-PE.;2012;CIENCIAS_AGRARIAS;Agronomia;FISIOLOGIA VEGETAL;;;;;;
Caracterização de produtores agroecológicos do Município de Ouricuri - Sertão Pernambucano;2012;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Necessidade térmica do milho crioulo cultivado no Município de Ouricuri-PE;2012;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Perfilhamento de variedades de cana-de-açúcar em Januária/MG;2014;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;;;;
PROTÓTIPO DE UM SOFTWARE PARA APOIO à SISTEMATIZAÇÃO DA ASSISTÊNCIA DE ENFERMAGEM;2008;CIENCIAS_DA_SAUDE;Enfermagem;Informática em Enfermagem;;;;;;
XprefRec: minimizando o problema de cold-start de item com mineração de preferências;2013;;;;;;;;;
Towards a Tunable Framework for Recommendation Systems based on Pairwise Preference Mining Algorithms;2014;;;;;;;;;
Uso de Imagens do Satélite CBERS 2B para Detecção de Áreas Desmatadas no Norte de Minas Gerais;2010;;;;;;;;;
Geoprocessamento aplicado à caracterização do Parque da Lapa Grande em Montes Claros/MG.;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;;;
AVERBAÇÃO DE RESERVA LEGAL DE PEQUENAS PROPRIEDADES RURAIS DO NORTE DE MINAS GERAIS;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica
USO DO GEOPROCESSAMENTO NO MONITORAMENTO DE PROPRIEDADES FORNECEDORAS DE CARVÃO VEGETAL NO NORTE DE MINAS GERAIS;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física
USO DO SENSORIAMENTO REMOTO NA DETECÇÃO DE ÁREAS DESMATADAS NO NORTE DE MINAS GERAIS;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física
USO DO SENSORIAMENTO REMOTO NO ESTUDO DA VEGETAÇÃO DO PARQUE NACIONAL DAS SEMPRE VIVAS;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física
USO DO SENSORIAMENTO REMOTO NO MONITORAMENTO DE ÁREAS DE RESERVA LEGAL;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;
UTILIZAÇÃO DO GEOPROCESSAMENTO NO ESTUDO DA ÁREA DE PRESERVAÇÃO PERMANENTE DO LAGO DO BICO DA PEDRA MINICÍPIO DE JANAÚBA   MG;2011;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física
MONITORAMENTO DA ÁREA DE PRESERVAÇÃO PERMANENTE DA BARRAGEM DO RIO SALINAS MUNICÍPIO DE SALINAS  MG: RESULTADOS PARCIAIS;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;OUTROS;Ciências Ambientais;
ESTUDO COMPARATIVO ENTRE OS SENSORES LANDSAT 5 - TM E RESOURCESAT - LISS III QUANTO AO ÍNDICE DE VEGETAÇÃO NDVI;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;OUTROS;Ciências Ambientais;
ESTUDO DA FRAGILIDADE AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO VIEIRA;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;;;
PROJETO NOVAS FRONTEIRAS: APLICAÇÃO DO SENSORIAMENTO REMOTO NA IDENTIFICAÇÃO DE DESMATAMENTO NO CERRADO NORTE MINEIRO;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geodésia
DELIMITAÇÃO DA ÁREA DE PRESERVAÇÃO PERMANENTE DA BARRAGEM DO RIO SALINAS, MUNICÍPIO DE SALINAS - MG.;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geodésia
APLICAÇÃO DO SENSORIAMENTO REMOTO PARA ESTIMAR A PERDA DE SOLOS POR EROSÃO LAMINAR;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;;;
DELIMITAÇÃO DE ÁREAS DE PRESERVAÇÃO PERMANENTE EM TOPOS DE MORRO UTILIZANDO O SPRING;2012;;;;;;;;;
DELIMITAÇÃO AUTOMÁTICA DA BACIA DO RIO VIEIRA, MONTES CLAROS - MG;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geofísica
DELIMITAÇÃO DE ÁREAS DE PRESERVAÇÃO PERMANENTE EM TOPOS DE MORRO UTILIZANDO O SPRING;2012;;;;;;;;;
USO DO GEOPROCESSAMENTO NA CARACTERIZAÇÃO DA FRAGILIDADE AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO VIEIRA;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;;;;;;
UTILIZAÇÃO DE GEOPROCESSAMENTO NO MONITORAMENTO DA ÁREA DE PRESERVAÇÃO PERMENENTE DA BARRAGEM DO RIO SALINAS, MUNICÍPIO DE SALINAS - MG;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;;;;;;
UTILIZAÇÃO DO SISTEMA DE INFORMAÇÕES GEOGRÁFICAS TERRAVIEW PARA DELIMITAÇÃO DA BACIA HIDROGRÁFICA DO RIO VIEIRA, MONTES CLAROS - MG.;2012;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;;;;;;;
Diagnóstico nutricional para micronutrientes em mamona adubada com NPK em solo de chapada da bacia do rio Jequitinhonha;2006;;;;;;;;;
Disponibilidade de nutrientes para mamoneira adubada com Npk em solo de chapada da bacia do rio Jequitinhonha;2006;;;;;;;;;
Resposta de pinhão manso à correção de acidez com cálcio e magnésio em solo de chapada da bacia do rio Jequitinhonha;2006;;;;;;;;;
Curvas de extração de nutrientes por frutos de manga Palmer;2005;;;;;;;;;
Diagnose nutricional e extração de nutrientes por cupuaçuzeiros cultivados no norte de Minas Gerais;2005;;;;;;;;;
