TITULO-ARTIGO;ANO-ARTIGO;NOME-PESQUISADOR
Avaliação da Aplicação do Reagente Me-BDB Como Indicador Ácido Base nas Aulas Práticas de Química Analítica;2010;Roberta Pereira Matos
Determinação dos Elementos Traços Cd, Pb, Cu, Zn, Cr, Ni e Al em  Amostras de Pães e Vegetais Comercializadas na Cidade de Jequié, BA;2012;Roberta Pereira Matos
Determinação dos teores de nitritos em amostras de queijos tipo prato comercializados na cidade de Vitória da Conquista   Bahia;2012;Roberta Pereira Matos
Aplicação de Resinas Poliméricas na Separação e Pré- Concentração de Cromo;2013;Roberta Pereira Matos
Espectrometria de Fluorescência de Raios-X na Determinação de Espécies Químicas;2013;Roberta Pereira Matos
RECUPERAÇÃO DE INFORMAÇÕES E ESTUDO EM FERRAMENTAS COMPUTACIONAIS PARA BIOINFORMÁTICA;2012;Roberto Wagner Ferraz Lacerda Júnior
Internet of Information and Services: A Conceptual Architecture for Integrating Services and Contents on the Future Internet;2012;Rodrigo Carneiro Brandão
Genesis System: Proposta de uma Arquitetura para Orquestração de Serviços em Ambientes Autonômicos Orientados a Serviço;2013;Rodrigo Carneiro Brandão
Serviços em Redes Futuras: Objetivos, Tecnologias e Comparação de Iniciativas;2013;Rodrigo Carneiro Brandão
Biopirataria: Crueldade e ousadia;2007;Rômulo Lima Meira
Repensando a Ecologia em Sala de Aula;2007;Rômulo Lima Meira
Conhecer para Preservar;2006;Rômulo Lima Meira
A arborização das cidades   O paisagismo verde;2005;Rômulo Lima Meira
Matas   Cobertura natural do Planeta;2005;Rômulo Lima Meira
Biotecnologia a serviço da vida;2008;Rômulo Lima Meira
Educação ambienal e Desenvolvimento Sustentável;2008;Rômulo Lima Meira
Intervalo hídrico ótimo e porosidade de solos cultivados em área de proteção ambiental do sul de Minas Gerais;2009;Vico Mendes Pereira Lima
Structural quality of soils cultivated with coffee and pasture in an environmental protection area;2010;Vico Mendes Pereira Lima
Alterações físico-químicas e movimentação de íons em Latossolo gibbsítico sob doses de gesso;2012;Vico Mendes Pereira Lima
Disponibilidade hídrica e distinção de ambientes para cultivo de cafeeiros;2013;Vico Mendes Pereira Lima
Capacidade funcional das idosas de uma instituição filantrópica de Montes Claros   Minas Gerais - Brasil;2011;Dayse Aparecida Silva Pereira Coutinho
Das sendas sombrias ao proscênio da história: algumas reflexões sobre as classes populares na historiografia do século XX;2004;Edi de Freitas Cardoso Júnior
O subúrbio vai ao púlpito: ingerências populares na esfera municipal de Montes Claros/MG (1930-1964);2009;Edi de Freitas Cardoso Júnior
Avaliação da Eficiência e da Estabilidade de Vacinas Polivalentes contra as Clostridioses dos Bovinos;2009;Eliane Macedo Sobrinho Santos
Qualidade Sanitária de Alimentos Artezanais Produzidos na Região do Alto Jequitinhonha;2009;Eliane Macedo Sobrinho Santos
Avaliação de risco potencial para estabelecimentos processadores de alimentos artesanais na região do alto jequtinhonha;2009;Eliane Macedo Sobrinho Santos
Modified toxin-binding inhibition (ToBI) test for epsilon antitoxin determination in serum of immunized rabbits;2010;Eliane Macedo Sobrinho Santos
Evaluation of the Flocculation Limit Technique for Quality Control Clostridial Vaccines;2009;Eliane Macedo Sobrinho Santos
Temperature and pH Monitoring in Windrows from Animal Facility Waste Composting;2010;Eliane Macedo Sobrinho Santos
Biossegurança: Uma Revisão;2010;Eliane Macedo Sobrinho Santos
Análise da viabilidade econômica de sistemas de produção de bezerros desmamados na região do norte de Minas Gerais;2010;Eliane Macedo Sobrinho Santos
Determinação de Perigos Microbiológicos em Carne Bovinas Resfriadas Provenientes de Abates Clandestinos e Comércio Ilegal;2010;Eliane Macedo Sobrinho Santos
Toxicidade aguda dos extratos hidroalcoólicos das folhas de alecrim-pimenta, aroeira e barbatimão e do farelo da casca de pequi administrados por via intraperitoneal;2010;Eliane Macedo Sobrinho Santos
Composting as alternative treatment of solid wastes from laboratory animal care facilities;2011;Eliane Macedo Sobrinho Santos
Modified Toxin-Binding Inhibition (TOBI) Test for Quantification of Epsilon Antitoxin in Serum from Immunized Sheep;2011;Eliane Macedo Sobrinho Santos
Atividade antimicrobiana de extratos hidroalcoolicos das folhas de alecrim- pimenta, aroeira, barbatimão, erva baleeira e do farelo da casca de pequi;2012;Eliane Macedo Sobrinho Santos
POTENCIAL ENERGÉTICO DO APROVEITAMENTO DE RESÍDUOS SÓLIDOS PROVENIENTES DE BIOTÉRIO PARA A PRODUÇÃO DE BIOGÁS;2012;Eliane Macedo Sobrinho Santos
EDUCAÇÃO AMBIENTAL E POSSE RESPONSÁVEL DE ANIMAIS DOMÉSTICOS NO COMBATE À LEISHMANIOSE NO MUNICÍPIO DE ARAÇUAÍ, MG.;2013;Eliane Macedo Sobrinho Santos
Growth conditions of clostridium perfringens type B for production of toxins used to obtain veterinary vaccines;2014;Eliane Macedo Sobrinho Santos
ELISA and modified toxin-binding inhibition test for quality control of the clostridial vaccine processes;2014;Eliane Macedo Sobrinho Santos
Um sistema escolar republicano em Minas Gerais;2013;Elizabeth Moreira Gomes
Desenvolvimento de Podisus nigrispinus, DALLAS (Heteroptera: Pentatomidae) em larvas de Zophobas confusa GEBIEM (Coleoptera: tenebrioniadae);1996;Emerson Delano Lopes
Aptidão Agrícola das Terras da Área de Proteção Ambiental (APA) Chapada do Lagoão   Araçuaí   MG.;2013;Emerson Delano Lopes
Comportas abertas para o risco: o território dos que vivem à sombra de uma barragem;2011;Emerson de Oliveira Muniz
Capacidade funcional das idosas de uma instituição filantrópica de Montes Claros   Minas Gerais - Brasil;2011;Fábio Coutinho Andrade
The nursery function of sandy beaches in a brazilian tropical bay for 0-goup anchovies (Teleostei, Engraulidae):diel, seasonal and spatial patterns, RJ.  84, 1229-1232;2004;Joaquim Neto de Sousa Santos
Efeito do tempo de conservação dos espécimes sobre a qualidade dos microincrementos em otólitos sagittae de Anchoa tricolor (Agassiz) (Clupeiformes, Engraulidae).  22 (4): 949-952, 2005;2005;Joaquim Neto de Sousa Santos
Variação da Ictiofauna de Acordo com o Gradiente de Exposição às Ondas em Praias Arenosas, RJ, Brasil. Biota Neotripica, Jan/Apr, Vol. 07, Nº 01;2007;Joaquim Neto de Sousa Santos
Sex ratio and sexual dimorphism of the anchovy Anchoa januaria tropical bay in southeastern Brazil.;2007;Joaquim Neto de Sousa Santos
Spawing season, recruitment and early distribution of Anchoa tricolor in a tropical bay in Southeastern Brazil. Vol. 68 (4): 631-637;2008;Joaquim Neto de Sousa Santos
Habitat selection by anchovies (Clupeiformes, Engraulidae) in a tropical bay at Southeastern Brazil;2008;Joaquim Neto de Sousa Santos
Length correction for early-juvenile Brazilian herring Sardinella janeiro (Eigenmann,1894) after preservation in formalin, ethanol and freezing;2009;Joaquim Neto de Sousa Santos
Short-term dynamics in fish assemblage structure on a sheltered sandy beach in Guanabara Bay, Southeastern Brazil.;2010;Joaquim Neto de Sousa Santos
Correction of the weight and length for juveniles Atherinella brasiliensis (Actinopterygii: Atherinopsidae) after fixation in formalin and preservation in alcohol.;2010;Joaquim Neto de Sousa Santos
Diel seasonality in fish biodiversity in a sandy beach in south-eastern Brazil. Journal of the Marine Biological Association of the United Kingdom (Print);2011;Joaquim Neto de Sousa Santos
Effects of morphodynamics and across-shore physical gradients on benthic macroinfauna on two sandy beaches in south-eastern Brazil;2014;Joaquim Neto de Sousa Santos
Ecomorphological relationships among four Characiformes fish species in a tropical reservoir in South-eastern Brazil;2014;Joaquim Neto de Sousa Santos
População de oribatei e collembola em pastagens na recuperação de solos degradados pela mineração do xisto
;1998;Joao Antonio Motta Neto
Uso do lodo de esgoto da ETE Belém na recuperação de áreas degradadas por mineração de calcário;1996;Joao Antonio Motta Neto
