TITULO-ARTIGO;ANO-ARTIGO;NOME-PESQUISADOR
DISTRIBUIÇÃO ESPACIAL DO BANCO DE SEMENTES DO SOLO EM ÁREA RECUPERADA: ESTUDO DE CASO, SEROPÉDICA   RJ.;2006;Juvenal Martins Gomes
FLORÍSTICA DE UM TRECHO DE FLORESTA ATLÂNTICA SECUNDÁRIA EM  SEROPÉDICA, RIO DE JANEIRO, Brasil.;2006;Juvenal Martins Gomes
FLORÍSTICA DA REGENERAÇÃO NATURAL EM UM TRECHO DE FLORESTA ATLÂNTICA MONTANA NO MUNICÍPIO DE TERESÓPOLIS-RJ.;2006;Juvenal Martins Gomes
Fenologia da comunidade de espécies arbustivas e arbóreas em área de cerrado, na APA da Chapada do Lagoão, Araçuaí (MG).;2013;Juvenal Martins Gomes
DESEMPENHO INICIAL NO CAMPO DE MOGNO AFRICANO IMPLANTADO EM ÁREA DE PASTAGEM NA REGIÃO SEMI - ÁRIDA DO MÉDIO VALE DO JEQUITINHONHA;2012;Juvenal Martins Gomes
DINÂMICA DA DEPOSIÇÃO DE SERRAPILHEIRA EM ÁREA DE MATA CILIAR ANTROPIZADA, VALE DO JEQUITINHONHA/MG.;2013;Juvenal Martins Gomes
CARACTERIZAÇÃO DO BANCO E CHUVA DE SEMENTES EM MATA CILIAR DEGRADADA, COMO SUPORTE A RESTAURAÇÃO FLORESTAL, VALE DO JEQUITINHONHA/MG.;2013;Juvenal Martins Gomes
PERCEPÇÃO AMBIENTAL DE PRODUTORES RURAIS DA CAATINGA SOBRE RESTAURAÇÃO FLORESTAL   ESTUDO DE CASO NO MUNICÍPIO DE CRATEÚS  CE.;2013;Juvenal Martins Gomes
EFEITO DO HIDROGEL E COBERTURA MORTA NA SOBREVIVÊNCIA DE MUDAS DE Spondias mombin L. NA CAATINGA.;2013;Juvenal Martins Gomes
PADRÕES REPRODUTIVOS E MARCAÇÃO DE ÁRVORES MATRIZES DE JATOBÁ, Hymenaea stigonocarpa (FABACEAE), ARAÇUAÍ - MG.;2013;Juvenal Martins Gomes
LISTA PRELIMINAR DA FLORA: SUBSÍDIOS PARA O MANEJO DA APA DA CHAPADA DO LAGOÃO, VALE DO JEQUITINHONHA, MG.;2013;Juvenal Martins Gomes
POTENCIAL DE COLETA DE SEMENTES NA APA DA CHAPADA DO LAGOÃO, ARAÇUAÍ, NORDESTE DE MINAS GERAIS.;2013;Juvenal Martins Gomes
FENOLOGIA DO PEQUIZEIRO, Caryocar brasiliense (CARIOCARACEAE), NA APA DA CHAPADA DO LAGOÃO, ARAÇUAÍ, NORDESTE DE MINAS GERAIS.;2013;Juvenal Martins Gomes
Restauração em florestas ribeirinhas com o suporte dos processos ecológicos: banco e chuva de sementes, Vale do Jequitinhonha/MG.;2014;Juvenal Martins Gomes
Carlos Drummond:o poeta leitor de Machado de Assis;2008;Katiúscia de Sousa Pereira Silva
Carlos Drummond e Cecília Meireles: A consciência da morte;2008;Katiúscia de Sousa Pereira Silva
Astronomia em educação matemática: uma proposta de pesquisa em curso de licenciatura em matemática.;2010;Magno Barbosa Dias
Qualidade de ensino e educação profissional: analisando a relação família-escola na rede técnica federal;2006;Marilze do Carmo Lima e Almeida
Educação Profissional e Qualidade de Ensino: Investigando os Colégios Técnicos Federais.;2007;Marilze do Carmo Lima e Almeida
O uso da estatística na verificação do conteúdo efetivo de produtos pré-medidos;2009;Mario de Souza Santana
A Educação Estatística no Ensino Médio com Base num Ciclo Investigativo: uma avaliação do desenvolvimento da postura crítica dos alunos de uma turma de 3º ano frente ao uso e difusão da linguagem estatística na sociedade;2010;Mario de Souza Santana
Investigações estatísticas no ensino médio: uma proposta de atividades para o desenvolvimento do Letramento Estatístico;2011;Mario de Souza Santana
Manejo da irrigação do cafeeiro (Coffea arabica L.) desde a fase inicial de formação;2000;Natalino Martins Gomes
Manejo da irrigação do cafeeiro (coffea arabica L.) desde a fase inical de formação;2001;Natalino Martins Gomes
Estudo de Difrentes Lamias de Irrigação do Cafeeiro (coffea arabica L.)desde a Fase Incial de Forma'cao;2001;Natalino Martins Gomes
Influência de diferentes lâminas de irrigação aplicadas nos parâmetros de crescimento do cafeeiro.;2002;Natalino Martins Gomes
Estabilidade de agregados de dois solos localizados no município de Lavras (MG);2004;Natalino Martins Gomes
Variabilidade espacial da densidade do solo na bacia hidrográfica do Ribeirão Marcela, Regão Alto Rio Grande;2004;Natalino Martins Gomes
Ajuste de modelos espaciais de semivariogramas para a densidade do solo numa bacia hidrográfica;2005;Natalino Martins Gomes
Análise de modelos e métodos de ajuste de semivariogramas para o comportamento espacial da matéria orgânica do solo numa bacia hidrográfica;2005;Natalino Martins Gomes
Avaliação da capacidade de armazenamento de água em substratos comerciais;2005;Natalino Martins Gomes
Efeito de um condicionador e da vermiculita na capacidade de retenção de água em Latossolo Vermelho Escuro.;2005;Natalino Martins Gomes
Análise de hidrogramas de escoamento superficial para a bacia hidrográfica do ribeirão Marcela.;2005;Natalino Martins Gomes
Avaliação do efeito da irrigação no rendimento e dos defeitos intrínsecos dos grãos de café;2005;Natalino Martins Gomes
Efeito de diferentes lânimas de irrigação na produtividade e maturação do cafeeiro no sul de Minas.;2005;Natalino Martins Gomes
Produção e desenvolvimento do cafeeiro irrigado;2004;Natalino Martins Gomes
Efeito de diferentes lâminas de irrigação sobre a produtividade e rendimento do cafeeiro (coffea arabica L. cv Rubi);2004;Natalino Martins Gomes
Avaliação dos parâmetros de qualidade física do cafeeiro (coffea arabica L.) irrigado.;2003;Natalino Martins Gomes
Influência de diferentes lânimas de irrigação na qualidade físic do cafeeiro.;2003;Natalino Martins Gomes
Avaliação da produtividade do cafeeiro irrigado por pivô central no Sul de Minas.;2003;Natalino Martins Gomes
Desenvolvimento e potencial produtivo de café irrigado por pivô central sob diferentes lâminas de irrigação.;2003;Natalino Martins Gomes
Modelagem de atributos físico-hídricos do solo numa bacia hidrográfica da região Alto Rio Grande, MG, Brasil.;2006;Natalino Martins Gomes
Variabilidade espacial da densidade do solo na bacia hidrográfica do ribeirão Marcela, região Alto Rio Grande;2004;Natalino Martins Gomes
Análise de modelos e métodos de ajuste de semivariogramas para o comportamento espacial da matéria orgânica do solo numa bacia hidrográfica;2005;Natalino Martins Gomes
Ajuste e seleção de modelos espaciais de semivariogramas para densidade do solo numa bacia hidrográfica;2005;Natalino Martins Gomes
Qualidade da água de chuva armazenada em cisternas de placa em comunidades rurais de Araçuaí - MG;2013;Natalino Martins Gomes
Produção de água e alimentos no semiárido mineiro;2013;Natalino Martins Gomes
CONTEXTO QUALITATIVO DO RIO VIEIRAS, MONTES CLAROS/MG E PROPOSIÇÃO DE CENÁRIO DE REVITALIZAÇÃO.;2012;Patrícia Conceição Medeiros
VARIAÇÃO DA VAZÃO E UNIFORMIDADE DE APLICAÇÃO DE ÁGUA EM FUNÇÃO DA ALTERAÇÃO DA PRESSÃO DE SERVIÇO DO ASPERSOR RAIN BIRD MODELO LF 1200;2007;Alisson Macendo Amaral
Caracterização Hidráulica do Microaspersor Multi-Funcional (MFN) da Amanco;2007;Alisson Macendo Amaral
UNIFORMIDADE DE APLICAÇÃO DE ÁGUA E VARIAÇÃO DA VAZÃO EM DIFERENTES PRESSÕES DE SERVIÇO DO ASPERSOR RAIN BIRD LF 1200;2007;Alisson Macendo Amaral
Estudo comparativo da avaliação de sistemas de irrigação por gotejamento utilizando as metodologias propostas por Keller e por Denículli.;2006;Alisson Macendo Amaral
DESEMPENHO DE UM LISÍMETRO DE DRENAGEM SIMPLIFICADO PARA  DETERMINAÇÃO DA EVAPOTRANSPIRAÇÃO DE REFERÊNCIA (ET0), EM  COMPARAÇÃO COM O MÉTODO DE PENMAN-MONTEITH;2009;Alisson Macendo Amaral
DESEMPENHO DE MÉTODOS EMPÍRICOS PARA DETERMINAÇÃO DA VAZÃO  EM CANAL RETANGULAR, USANDO DIFERENTES TIPOS DE VERTEDORES;2009;Alisson Macendo Amaral
CRESCIMENTO DOS ALGODOEIROS BRS ARARIPE E BRS CAMAÇARI EM FUNÇÃO DE DENSIDADES POPULACIONAIS EM REGIME IRRIGADO;2009;Alisson Macendo Amaral
PRODUÇÃO DO ALGODOEIRO, CULTIVARES BRS ARARIPE E BRS CAMAÇARI, EM DIFERENTES DENSIDADES POPULACIONAIS NOS CULTIVOS SOB IRRIGAÇÃO E DE SEQUEIRO.;2009;Alisson Macendo Amaral
Crescimento e acúmulo de micronutrientes em maracujazeiro amarelo irrigado por microaspersão;2012;Alisson Macendo Amaral
Monitoramento em características físcias de um latossolo vermelho distrófico com textura argilosa manejado com os sistemas de plantio direto e convencional;2012;Alisson Macendo Amaral
Balanço Hídrico da Região de Rio Verde - GO;2013;Alisson Macendo Amaral
Influência de doses de adubação na fitomassa do feijoeiro irrigado;2013;Alisson Macendo Amaral
Caracterização da vazão de um sistema de irrigação por gotejo;2013;Alisson Macendo Amaral
Uniformidade de distribuição de um sistema de irrigação sob diferentes pressões de serviço em casa de vegetação;2013;Alisson Macendo Amaral
Fitomassa acumulada nos estádios iniciais para genótipos de girassol;2013;Alisson Macendo Amaral
Determinação da emergência e número de folhas para diferentes cultivares de girassol;2013;Alisson Macendo Amaral
Manutenção do potencial vegetativo em cultivares de girassol;2013;Alisson Macendo Amaral
UNIFORMIDADE DE DISTRIBUIÇÃO DE ÁGUA DE UM MINIASPERSOR SETORIAL EM FUNÇÃO DA VARIAÇÃO DO ÂNGULO DE TRABALHO E DA PRESSÃO DE SERVIÇO;2013;Alisson Macendo Amaral
Crescimento inicial do feijoeiro comum submetido a tipos de adubação;2013;Alisson Macendo Amaral
Influência dos sistemas de cultivo em atributos físicos de um latossolo;2014;Alisson Macendo Amaral
Resposta da fitomassa de cultivares de girassol submetidas a diferentes regimes de irrigação e adubação nitrogenada.;2014;Alisson Macendo Amaral
Manutenção do potencial vegetativo de cultivares de girassol em níveis de reposição hídrica;2014;Alisson Macendo Amaral
Comportamento de equações de evapotranspiração de referência para o município de Rio Verde - GO, Brasil;2014;Alisson Macendo Amaral
O caráter histórico na poesia contemporânea: uma análise da poética de Cecília Meireles;2000;Dinamor Chicarelli do Nascimento
"O ""eu"" em crise: refletindo sobre alguns paradigmas da contemporaneidade";2004;Dinamor Chicarelli do Nascimento
O Romanceiro Inconfidência: construção e des/construção da história;2000;Dinamor Chicarelli do Nascimento
"Barthes e a Linguagem: uma análise de ""A aula"" à luz das relações foucaltianas";2005;Dinamor Chicarelli do Nascimento
A intervençao do inconsciente na poética de Murilo Mendes: entre o cristao e o carnal;2007;Dinamor Chicarelli do Nascimento
O homem grego e sua paideia:uma breve reflexao sobre a historia da educaçao e os estudos sobre a arte;2006;Dinamor Chicarelli do Nascimento
Efeito da utilização de micro minerais orgânicos na dieta sobre o desempenho de poedeiras comerciais em final de postura;2008;Diogo de Moraes Cardoso
Correlação entre características morfométricas e rendimento de filé da tilápia do Nilo (Oreochromis niloticus), linhagem tailandesa;2008;Diogo de Moraes Cardoso
Níveis de substituição de calcário calcítico por farinha de ostra sobre a qualidade externa dos ovos de poedeiras comerciais em final de postura;2007;Diogo de Moraes Cardoso
Utilização de cana-de-açúcar em dietas de suínos dos 30 aos 60 kg;2006;Diogo de Moraes Cardoso
Efeito da utilização de cana-de-açúcar sobre o peso vivo, peso de carcaça e ganho de peso absoluto de cortes de suínos dos 30 aos 100 kg;2006;Diogo de Moraes Cardoso
Utilização de cana-de-açúcar em dietas de suínos dos 60 aos 100 kg;2006;Diogo de Moraes Cardoso
Avaliação do rendimento de suínos alimentados com diferentes níveis de cana-de-açúcar dos 30 aos 100 kg;2007;Diogo de Moraes Cardoso
Efeito dos níveis de substituição de calcário calcítico por farinha de ostra sobre o desempenho de poedeiras comerciais em final de postura;2007;Diogo de Moraes Cardoso
Efeito da utilização da cana-de-açúcar sobre o peso vivo, peso de carcaça e ganho de peso de cortes de suínos dos 30 aos 100 kg;2006;Diogo de Moraes Cardoso
Efeito da utilização da cana-de-açúcar sobre o peso absoluto dos órgãos internos de suínos dos 30 aos 100 kg;2006;Diogo de Moraes Cardoso
Efeito da utilização de cana-de-açúcar sobre o desempenho de suínos em fase de crescimento;2005;Diogo de Moraes Cardoso
Associação de microminerais orgânicos com vitamina C sobre o desempenho de poedeiras semi-pesadas criadas em altas temperaturas;2009;Diogo de Moraes Cardoso
Associação de microminerais orgânicos com vitamina C sobre a qualidade dos ovos de poedeiras semi-pesadas criadas em altas temperaturas;2009;Diogo de Moraes Cardoso
Desempenho de frangos de corte alimentados com dietas contendo complexo enzimático;2010;Diogo de Moraes Cardoso
Rendimento de carcaça de frangos de corte alimentados com dietas contendo complexo enzimático;2010;Diogo de Moraes Cardoso
Microminerais sob a forma de complexo orgânico e vitamina C sobre o desempenho de poedeiras semipesadas em altas temperaturas;2010;Diogo de Moraes Cardoso
Fator de produção e viabilidade econômica da utilização de complexo enzimático em rações para frangos de corte;2011;Diogo de Moraes Cardoso
Microminerais sob a forma de complexo orgânico e vitamina C sob a qualidade da casca de ovos de poedeiras semipesadas em altas temperaturas;2011;Diogo de Moraes Cardoso
A gestão da liquidez e o seu reflexo no retorno sobre o capital próprio e no lucro por ação das empresas pertencentes à BMF&BOVESPA;2012;Juliara Lopes da Fonseca
Determinantes de Estrutura de Capital: uma análise de dados em painel de empresas pertencentes ao IBOVESPA no período de 1995;2009;Juliara Lopes da Fonseca
Search based constrained test case selection using execution effort;2013;Luciano Soares de Souza
O Amor por princípio, a ordem por base e o progresso por fim: limpeza étnica e questão racial na educação positiva durante a primeira república no Brasil;2012;Ricardo Tadeu Barbosa
Heisenberg spins on a cone: an interplay between geometry and magnetism;2005;Walter Andrade de Freitas
Segmentação de Mercado em uma Concessionária Energia Elétrica.;2003;Willy de Oliveira
Tecnologias Informacionais e Comunicacionais no Ensino de Matemática: a produção de atividades investigativas num curso de Mestrado Profissional em Educação Matemática.;2008;Alexandre Botelho Brito
Constituintes fenólicos e terpenóides isolados das raízes de Andira fraxinifolia (Fabeceae);2006;Aline Nogueira Alves
DESENVOLVIMENTO DE UMA REDE NEURO-FUZZY PARA PREDIÃ Ã O DA TEMPERATURA RETAL DE FRANGOS DE CORTE;2010;Alison Zille Lopes
COMPLEMENTAÇÃO DA IRRIGAÇÃO E ÉPOCAS DE COLHEITA DE MANDIOCA CV. COQUEIRO NO PLANALTO DE CONQUISTA, BA;2010;Andre Candido Lopes
GANHO EM PESO E CARACTERÍSTICAS DA CARCAÇA DE OVINOS CONFINADOS ALIMENTADOS COM BAGAÇO DE CANA HIDROLISADO COM ÓXIDO DE CÁLCIO;2009;Charles Bernardo Buteri
Mastectomia radical em uma ovelha da raça Santa Inês com mastite gangrenosa e piodermite aguda. Relato de caso.;2010;Charles Bernardo Buteri
Ocorrência de dois casos de queilosquise ligados à endogamia em bezerros da raça Girolando;2011;Charles Bernardo Buteri
Reprodução induzida de alguns peixes migradores das bacias dos rios Pardo e Jequitinhonha;2011;Charles Bernardo Buteri
Effects of dietary digestible lysine levels on protein and fat deposition in the carcass of broilers;2009;Charles Bernardo Buteri
Exigência de lisina, planos nutricionais e modelos matemáticos na determinaçâo de exigências de frangos de corte;2009;Charles Bernardo Buteri
Effects of different nutritional plans on broiler performance;2009;Charles Bernardo Buteri
Avaliação da remoção de saxitoxinas por meio de técnicas de tratamento das águas de abastecimento;2009;Cristiane da Silva Melo
"Poly-&#949;-caprolactone microspheres containing interferon alpha as alternative formulations for the treatment of chronic hepatitis C";2012;Cristiane da Silva Melo
Formas farmacêuticas poliméricas para a administração de peptídeos e proteínas terapêuticos.;2012;Cristiane da Silva Melo
'Influência da embalagem na aceitação de diferentes marcas comerciais de cachaça da região de Salinas/MG.';2012;Daniela Caetano Cardoso
Uso de extrato da madeira Amburana (Amburana cearensis) na produção de aguardente - Análise Sensorial;2013;Daniela Caetano Cardoso
Uso de fontes de carbono por Gluconacetobacter diazotrophicus isolados de plantas de cana-de-açúcar;2006;Edilene Alves Barbosa
AVALIAÇÃO DE CULTIVARES DE ALFACE NAS CONDIÇÕES DO OUTONO/INVERNO NA REGIÃO DE BAIXADA DO RIO DE JANEIRO;1995;Edilene Alves Barbosa
Avaliação Sensorial e Perfil dos Consumidores de Mussarela;2007;Edilson Jardim Viana
Crescimento e produção de variedades de cana-de-açúcar influenciadas por diferentes adubações e estresse hídrico;2011;Edilson Jardim Viana
Avaliação tecnológica de variedades de cana-de-açúcar influenciadas por diferentes adubações e supressões de irrigação;2012;Edilson Jardim Viana
Assédio moral no trabalho, práticas e consequências: um estudo de caso nas empresas do ramo de confecções associadas à Câmara de Dirigentes Lojistas de Montes Claros - MG;2011;Edson Antunes Quaresma Júnior
A cristalização de uma micro revolução francesa: o caso das cooperativas de Salinas-MG;2013;Edson Antunes Quaresma Júnior
A cidade e as manifestações coletivas: a constituição da Praça Sete como espaço da expressão políticae as manifestações coletivas: a constituição da Praça Sete como espaço da expressão política;2013;Fabiano Rosa de Magalhães
As Manifestações no espaço público: a rua como lugar da expressão política;2013;Fabiano Rosa de Magalhães
Avaliação da polinização artificial de flores de pinha (Annona Squamosa L.) de diferentes tamanhos;2003;Fabrício Silveira Santos
Efeito de horários de polinização artificial no pegamento e qualidade de frutos de pinha (Annona Squamosa L.);2003;Fabrício Silveira Santos
Qualidade físico-química de frutos de pinheira ensacados;2004;Fabrício Silveira Santos
Incorporation of europium III complex into nanoparticles and films obtained by the Sol-Gel methodology;2010;Farley Jean de Sousa
Development, qualitative evolution, yield and production cost of guava spirit;2008;Felipe Cimino Duarte
CARACTERIZAÇÃO E QUANTIFICAÇÃO DE CONTAMINANTES EM AGUARDENTES DE CANA;2011;Felipe Cimino Duarte
Cachaça de Minas Gerais/Brasil: Produção e Qualidade;2012;Felipe Cimino Duarte
Physicochemical and sensory changes in aged sugarcane spirit submitted to filtering with activated carbon filter;2012;Felipe Cimino Duarte
Características físico-químicas de cachaças artesanais envelhecidas e não envelhecidas produzoidas e comercializadas na Bahia;2013;Felipe Cimino Duarte
Análise multivariada da composição fenólica de cachaças armazenadas em diferentes tonéis de madeira;2014;Felipe Cimino Duarte
ANÁLISE MICROBIOLÓGICA DE BANANA 'PRATA ANÃ' PRODUZIDA;2013;Fernando Barreto Rodrigues
Desempenho, morfometria de órgãos e histologia intestinal de suínos na fase de terminação tardia alimentados com cana-de-açúcar;2012;Fernando Matos Pereira
ADESIVOS À BASE DE CREOSOTO VEGETAL DESMETILADO: EFEITO DOS COMPOSTOS NÃO FENÓLICOS NA EFICIÊNCIA DA COLAGEM DE MADEIRA;2002;Flavia Reis Ganem
Síntese de novas fitotoxinas derivadas do 8-oxabiciclo[3.2.1]oct-6-en-3-ona;2004;Flavia Reis Ganem
Infecção concomitante por Dioctophyma renale, Hepatozoon sp., Ehrlichia sp. e Cinomose em cão;2004;Gabriel Domingos Carvalho
Considerações sobre o resultado do Hematócrito pela técnica manual do microhematócrito e automatizada pelas técnica de impedância elétrica.;2005;Gabriel Domingos Carvalho
Avaliação clínica de ratos (Rattus novergicus) do biotério da Universidade Federal do Espírito Santo - Parâmetros Biológicos;2005;Gabriel Domingos Carvalho
Cooperativismo rural no Espírito Santo: o caso da Selita;2006;Gabriel Domingos Carvalho
Intoxicação por Tetrapterys acutifolia em bovinos na Região Sul do estado do Espírito Santo - Brasil.;2008;Gabriel Domingos Carvalho
Perfil de famílias interioranas que fazem uso de plantas medicinais;2008;Gabriel Domingos Carvalho
ASPECTOS ZOONÓTICOS DE Helicobacter spp.;2008;Gabriel Domingos Carvalho
Quadro clínico-patológico das intoxicações por Samambaia (Pteridium aquilinum) em bovinos;2009;Gabriel Domingos Carvalho
Avaliação clínica de ratos de laboratório (Rattus novergicus linhagem Wistar): parâmetros sanitários, biológicos e fisiológicos;2009;Gabriel Domingos Carvalho
Principais plantas tóxicas causadoras de morte súbita em bovinos no Estado do Espírito Santo - Brasil;2009;Gabriel Domingos Carvalho
IMUNIZAÇÃO COM O PEPTÍDEO SINTÉTICO ANTI CARRAPATO Rhipicephalus (Boophilus) microplus SBM7462  POR VIAS DE MUCOSA;2008;Gabriel Domingos Carvalho
ANÁLISE MOLECULAR DA SEQUÊNCIA ANTIGÊNICA (SBM7462 ) DA BM86 DO Rhipicephalus (Boophilus) microplus E SIMILARIDADE COM Rhipicephalus sanguineus E Hyalomma anatolicum anatolicum;2008;Gabriel Domingos Carvalho
ELABORAÇÃO E AVALIAÇÃO DE UM CANDIDATO À VACINA DE DNA, UTILIZANDO-SE GENES SINTÉTICOS DERIVADOS DO PEPTÍDEO SBM7462 CONTRA O CARRAPATO Rhiphicephalus (Boophilus) microplus;2008;Gabriel Domingos Carvalho
Tuberculose bovina: diagnóstico, controle e profilaxia;2009;Gabriel Domingos Carvalho
Utilização de água residuária de suinocultura como fonte de nitrogênio para o solo;2011;Gabriel Domingos Carvalho
Apoptose e morte celular induzida por ativação (AICD);2011;Gabriel Domingos Carvalho
Alterações reprodutivas em garanhão após quadro clínico de broncopneumonia;2011;Gabriel Domingos Carvalho
Uso inadequado de Abamectina em bezerros Girolandos: Relato de caso;2011;Gabriel Domingos Carvalho
Consensus for the Diagnosis, Prognosis and Treatment of Canine Mammary Tumors;2011;Gabriel Domingos Carvalho
Guia prático de necropsia cosmética em animais de companhia: descrição da técnica e considerações sobre sua aplicação;2010;Gabriel Domingos Carvalho
"Exerese de Lipoma em ""trinca-ferro"" (Saltator similis)";2012;Gabriel Domingos Carvalho
 Frear é o bicho: sua atenção vale uma vida!  - Importância da conscientização sobre o atropelamento de animais silvestres;2011;Gabriel Domingos Carvalho
Distúrbio comportamental em felídeo silvestre (Panthera pardus);2012;Gabriel Domingos Carvalho
Percepção de condutores sobre os fatores envolvidos no atropelamento de animais silvestres;2012;Gabriel Domingos Carvalho
COCCIDIOSE SUÍNA;2012;Gabriel Domingos Carvalho
Atendimento ambulatorial de quati-de-cauda-anelada (Nasua nasua) Relato de caso;2012;Gabriel Domingos Carvalho
Polidactilismo unilateral incomum em equino: relato de caso;2012;Gabriel Domingos Carvalho
Espinha bífida aberta em bovino: primeiro relato no estado de Minas Gerais;2013;Gabriel Domingos Carvalho
Prospecção fitoquímica, potencial anti-helmíntico e análise toxicológica de Macaé (L. sibiricus L.);2012;Gabriel Domingos Carvalho
Tuberculose bovina protraída: relato de caso;2012;Gabriel Domingos Carvalho
Inclusão Escolar e Concepção Docente: limites e perspectivas;2013;Gabriel Domingos Carvalho
Levantamento de animais silvestres atropelados em trecho da rodovia BR482;2013;Gabriel Domingos Carvalho
Medidas de Controle do Carrapato Rhipicephalus microplus: uma breve revisão;2014;Gabriel Domingos Carvalho
Pteridium aquilinum: Importância para Saúde Pública;2014;Gabriel Domingos Carvalho
Importância das Vacinas Sintéticas contra o Carrapato Rhipicephalus microplus;2014;Gabriel Domingos Carvalho
Inclusão Escolar e Concepção Docente : Limites e Perspectivas;2013;Giuliana de Sá Ferreira Barros
Análise Comparativa das Estratégias de Segurança em Ambientes Servidores para Tecnologia de Agentes Móveis;2000;Jamerson Jardel Macedo Nere
Morfometria macro e microscópica e índices somáticos dos componentes testiculares de cães sem raça definida, do período púbere à senilidade;2006;Leonardo Lara e Lanna
Effect of deslorelin on the induction of estrus in anestrous bitches;2010;Leonardo Lara e Lanna
Perfil citológico dos líquidos amniótico e alantoidiano nos terços inicial, médio e final da gestação na vaca;2009;Leonardo Lara e Lanna
Abordagem clínica da infertilidade na cadela e patologias associadas: revisão;2012;Leonardo Lara e Lanna
Índice gonadossomático e correlações entre dimensões e peso testiculares na codorna japonesa (Coturnix coturnix japonica) aos 60 dias de idade;2013;Leonardo Lara e Lanna
Atividade folicular ovariana em avestruz (Struthio camelus) avaliada por ultrassonografia e sua relação com fotoperíodo e postura;2013;Leonardo Lara e Lanna
DENSIDADE DE PLANTIO EM CEBOLA NO SISTEMA DE SEMEADURA NO NORTE DE MINAS;2001;Lázaro Gonçalves Siqueira
Avaliação da eficiência comparativa de Cymoxanil + Mancozeb no controle da requeima ( Phytophthora infestans (Mont.) De Bary) e pinta preta (Alternaria solani ( Ell. & Martin) James & Group) do tomateiro rasteiro ( Licopersicum esculentum Mill);1991;Magalhaes Teixeira de Souza
Ação Protetora e Curativa dos Compostos Triadimenol e Aldicarbe ao Fungo Hemileia vastatrix Berk e Br. Agente Causal da Ferrugem em Mudas de Cafeeiros;1994;Magalhaes Teixeira de Souza
Associação de Bipolaris sorokiniana com sementes Manchadas de Trigo ( Triticum sativum L.) da Região do Alto Paranaíba-MG.,SAFRA 1988;1989;Magalhaes Teixeira de Souza
Estimativa da área foliar da videira ( Vitis labrusca L. CV. Folha de Figo) sobre diferentes porta-enxertos;2002;Magalhaes Teixeira de Souza
Fenologia e qualidade do mosto de videiras ' folha de figo' sobre diferentes porta-enxertos, em Caldas, Sul de Minas Gerais;2002;Magalhaes Teixeira de Souza
Estudo do crescimento de mudas e porta-enxertos e videira e ' IAC 313';2002;Magalhaes Teixeira de Souza
Efeito de diferentes lâminas de irrigação na produtividade e no sistema radicular do feijoeiro;2007;Marcelo Rossi Vicente
Comparação de equações para cálculos da uniformidade de aplicação de água para diferentes sistemas de irrigação;2009;Marcelo Rossi Vicente
Análise Técnica da Cafeicultura Irrigada por Pivô Central no Norte do Espírito Santo e Extremo Sul da Bahia;2011;Marcelo Rossi Vicente
Manejo da irrigação na cafeicultura irrigada por pivô central nas regiões norte do Espírito Santo e extremo sul da Bahia;2011;Marcelo Rossi Vicente
ANÁLISE TÉCNICA DOS SISTEMAS DE IRRIGAÇÃO DO CAFEEIRO (Coffea arabica L.) NA REGIÃO OESTE DA BAHIA;2011;Marcelo Rossi Vicente
Comparação entre métodos simplificados de estimativa da evapotranspiração de referência (ETo) para regiões produtoras de café brasileiras;2011;Marcelo Rossi Vicente
Uniformidade de Distribuição de Água em Pivô Central;2012;Marcelo Rossi Vicente
A seca e a humanidades no processo de acesso à água: as barragens do Rio Salinas e o desenvolvimento Regional;2003;Maria Araci Magalhães
Restauração de áreas degradadas;2009;Maria Clara Oliveira Durães
Levantamento florístico do estrato arbóreo de três fragmentos de floresta ciliar como subsídio à recomposição da vegetação do Rio Cedro, Montes Claros - MG;2014;Maria Clara Oliveira Durães
Desempenho do consórcio cebolinha-rabanete, sob manejo orgânico.;2009;Marília Dutra Massad
Produção de fitomassa, acúmulo de nutrientes e decomposição de leguminosas utilizadas para adubação verde.;2010;Marília Dutra Massad
Qualidade fisiológica de sementes e desempenho de plantas de rúcula no campo;2011;Marília Dutra Massad
Desenvolvimento inicial de mudas de copaíba sob diferentes níveis de sombreamento e substratos;2012;Marília Dutra Massad
Emergência e crescimento inicial da canafístula em diferentes substratos e métodos de superação de dormência;2012;Marília Dutra Massad
Parâmetros fisiológicos de mudas de copaíba sob diferentes substratos e condições de sombreamento;2012;Marília Dutra Massad
Avaliação de fatores do ambiente de trabalho em atividades de um viveiro florestal de Curvelo, Minas Gerais;2012;Marília Dutra Massad
Ácido indolbutírico e substratos na alporquia de umbuzeiro;2012;Marília Dutra Massad
Substratos alternativos e métodos de quebra de dormência para produção de mudas de canafístula;2013;Marília Dutra Massad
Tecnologia para produção de mudas de Copaifera langsdorffii Desf. por meio de miniestaquia seminal;2014;Marília Dutra Massad
Produtividade do milho em sistema agroecológico na caatinga mineira;2014;Marília Dutra Massad
Composição florística do estrato arbóreo de floresta Atlântica Interiorana em Araponga - Minas Gerais;2006;Michellia Pereira Soares
Florística de uma área de cerradão na floresta nacional de Paraopeba - Minas Gerais;2010;Michellia Pereira Soares
Influence of Soil Physical Properties on Plants of the Mussununga Ecosystem, Brazil;2012;Michellia Pereira Soares
Espécies de cerrado com potencial para recuperação de áreas degradadas por mineração de ouro, Paracatu-MG;2011;Michellia Pereira Soares
